Samples, Lagrange infinity norm, Neural network infinity norm, Loss
2, 0.9999999999987662, 1.0000001192092896, 0.0
4, 0.2553554693866844, 0.780472993850708, 1.5081838366072867e-14
6, 0.02675519525536879, 0.026340335607528687, 1.5730598768026738e-10
8, 0.001695754819486528, 0.01946994662284851, 4.65883786091581e-05
12, 2.2133698444337657e-06, 0.015978455543518066, 6.521870818687603e-05
16, 9.217144963935553e-10, 0.014629840850830078, 6.486498023150489e-05
20, 1.3550202626610997e-12, 0.0138644278049469, 6.24202803010121e-05
24, 1.496770762887678e-11, 0.01410570926964283, 6.0077411035308614e-05
32, 0, 0.016638191416859627, 5.651920218952e-05
40, 0, 0.018274696543812752, 5.412311293184757e-05
48, 0, 0.019427211955189705, 5.243613486527465e-05
