Samples, Lagrange infinity norm, Neural network infinity norm, Loss
2, 0.9615384615134616, 0.962155818939209, 0.0
4, 0.7070135746358881, 0.691273033618927, 3.469446951953614e-18
6, 0.43269230766903866, 0.3974888324737549, 2.3175905639050143e-15
8, 0.24735860653893138, 0.19685667753219604, 1.8595194828385786e-13
12, 0.5567751153300315, 0.048089563846588135, 5.439128258899473e-08
16, 2.1075611333394844, 0.01467287540435791, 1.6988166180453845e-06
20, 8.579090824989018, 0.005596578121185303, 1.0954679510177812e-06
24, 36.41016232790574, 0.003949403762817383, 1.7832136336437543e-06
32, 0, 0.0036377310752868652, 2.0640231923607644e-06
40, 0, 0.00357973575592041, 2.036532805504976e-06
48, 0, 0.0035359859466552734, 2.0135573777224636e-06
