Samples, Lagrange infinity norm, Neural network infinity norm, Loss
6, 0, 0.01734769344329834, 9.955450352983064e-11
8, 0, 0.02594602108001709, 9.860585958865187e-11
12, 0, 0.025916337966918945, 9.803653028273018e-11
16, 0, 0.028704166412353516, 9.820992630249492e-11
20, 0, 0.02339911460876465, 9.695776820306534e-11
24, 0, 0.027219951152801514, 9.996151129065822e-11
32, 0, 0.036126673221588135, 9.242242388074473e-11
40, 0, 0.03054732084274292, 9.966232006330955e-11
48, 0, 0.02320277690887451, 9.562244052130353e-11
